timestamp,symbol,price,market_cap,total_volume,price_change_pct_24h,market_cap_change_pct_24h
12:03:00.367,bgb,4.6,5382304345,114442475,3.63318,3.62042
12:03:00.367,dot,3.31,5038426173,144612422,-0.48486,-0.51673
12:03:00.367,pi,0.55579,4208534867,147301134,-3.07202,-2.29383
12:03:00.367,uni,6.88,4130563388,376736011,-1.07668,-1.0796
12:03:00.367,aave,260.99,3958787060,422581418,1.85647,1.78126
12:03:00.367,pepe,9.28e-06,3903697801,555827804,-1.15991,-1.30392
12:03:00.367,apt,5.05,3250164044,478661853,5.76544,5.65673
12:03:00.367,okb,49.69,2981390601,6460247,-0.85147,-0.84304
12:03:00.367,tao,318.54,2835631255,123908942,-1.24921,-1.60935
12:03:00.367,near,2.08,2555185881,185285067,-0.48882,-0.75094
12:03:00.367,jitosol,172.24,2550034972,26299368,-1.02858,-1.40436
12:03:00.367,icp,4.73,2527298064,49179969,-1.39769,-1.62511
12:03:00.367,cro,0.08078,2512041831,10893347,-1.26582,-1.3894
12:03:00.367,etc,16.06,2449185811,39816714,-1.49695,-1.66335
12:03:00.367,ondo,0.740992,2337766115,101168947,-1.07424,-1.2537
12:03:00.367,tkx,27.66,2205846838,20792150,-0.32106,-0.46807
12:03:00.367,mnt,0.597322,2010980180,151165391,-1.94546,-1.95385
12:03:00.367,kas,0.074581,1965516622,70165092,-2.41888,-2.7153
12:03:00.367,gt,15.89,1926319224,6493760,-2.00604,-2.1042
12:03:00.367,ftn,4.42,1897883352,58976169,-0.06799,-0.14773
12:03:00.367,trump,8.97,1793160219,261904299,0.74061,0.56399
12:03:00.367,atom,3.91,1785946865,63274780,-1.29372,-1.38687
12:03:00.367,vet,0.02024653,1739721684,31933806,-3.18761,-3.46836
12:03:00.367,fet,0.665082,1732624804,143721904,1.77828,1.77325
12:03:00.367,sky,0.077166,1642073775,5902752,-1.52595,-1.7814
12:04:00.048,btc,107000,2127653176673,23688611365,-0.35836,-0.32478
12:04:00.048,eth,2446.4,295236253398,14608776839,-0.20478,-0.20711
12:04:00.048,xrp,2.09,123260310631,2833643318,-3.75838,-3.87961
12:04:00.048,bnb,645.46,94144969145,573418128,0.07748,-0.00801
12:04:00.048,sol,142.15,75971729611,4092942788,-1.16855,-1.14653
12:04:00.048,trx,0.271714,25759592133,509678587,-0.01662,-0.13099
12:04:00.048,doge,0.160499,24045590664,875923481,-0.72586,-0.79959
12:04:00.048,steth,2444.65,22295002717,52030630,-0.25204,-0.58063
12:04:00.048,ada,0.553954,20004259422,463535024,-1.65222,-1.83701
12:04:00.048,wbtc,106881,13769802954,167330830,-0.33533,-0.47038
12:04:00.048,hype,36.82,12292581498,271322163,-1.66522,-1.63972
12:04:00.048,bch,495.65,9855069105,368241945,0.19053,0.16769
12:04:00.048,sui,2.66,9023475066,871024555,-0.13407,-0.44154
12:04:00.048,link,13.04,8840901511,268279747,-1.15702,-1.25287
12:04:00.048,leo,9.03,8339347306,2363075,0.45274,0.47992
12:04:00.048,avax,17.47,7374054340,234414651,0.35132,0.20212
12:04:00.048,xlm,0.234575,7322265227,111675352,-1.74902,-1.76152
12:04:00.048,ton,2.84,6997378130,103247603,0.33186,0.22823
12:04:00.048,wbt,47.15,6797430055,35871706,-0.61537,-0.57949
12:04:00.048,shib,1.123e-05,6615865887,106634332,-1.86563,-2.00478
12:04:00.048,weth,2446.54,6614093312,199702801,-0.21813,0.14569
12:04:00.048,ltc,84.39,6413280107,266112411,-0.6627,-0.79301
12:04:00.048,weeth,2619.01,6361711548,10502914,-0.20356,-0.25017
12:04:00.048,hbar,0.145183,6150809653,152705448,-0.25965,-0.2881
12:04:00.048,xmr,307.29,5654880417,80039675,-3.06683,-2.83368
12:04:00.048,bgb,4.6,5382304345,114442475,3.63318,3.62042
12:04:00.048,dot,3.31,5038426173,144612422,-0.48486,-0.51673
12:04:00.048,pi,0.55579,4208534867,147301134,-3.07202,-2.29383
12:04:00.048,uni,6.88,4130563388,376736011,-1.07668,-1.0796
12:04:00.048,aave,260.99,3958787060,422581418,1.85647,1.78126
12:04:00.048,pepe,9.28e-06,3903697801,555827804,-1.15991,-1.30392
12:04:00.048,apt,5.05,3250164044,478661853,5.76544,5.65673
12:04:00.048,okb,49.69,2981390601,6460247,-0.85147,-0.84304
12:04:00.048,tao,318.54,2835631255,123908942,-1.24921,-1.60935
12:04:00.048,near,2.08,2555185881,185285067,-0.48882,-0.75094
12:04:00.048,jitosol,172.24,2550034972,26299368,-1.02858,-1.40436
12:04:00.048,icp,4.73,2527298064,49179969,-1.39769,-1.62511
12:04:00.048,cro,0.08078,2512041831,10893347,-1.26582,-1.3894
12:04:00.048,etc,16.06,2449185811,39816714,-1.49695,-1.66335
12:04:00.048,ondo,0.740992,2337766115,101168947,-1.07424,-1.2537
12:04:00.048,tkx,27.66,2205846838,20792150,-0.32106,-0.46807
12:04:00.048,mnt,0.597322,2010980180,151165391,-1.94546,-1.95385
12:04:00.048,kas,0.074581,1965516622,70165092,-2.41888,-2.7153
12:04:00.048,gt,15.89,1926319224,6493760,-2.00604,-2.1042
12:04:00.048,ftn,4.42,1897883352,58976169,-0.06799,-0.14773
12:04:00.048,trump,8.97,1793160219,261904299,0.74061,0.56399
12:04:00.048,atom,3.91,1785946865,63274780,-1.29372,-1.38687
12:04:00.048,vet,0.02024653,1739721684,31933806,-3.18761,-3.46836
12:04:00.048,fet,0.665082,1732624804,143721904,1.77828,1.77325
12:04:00.048,sky,0.077166,1642073775,5902752,-1.52595,-1.7814
12:05:00.358,btc,106995,2127653176673,23671386803,-0.36321,-0.32478
12:05:00.358,eth,2446.37,295236253398,14509737575,-0.20621,-0.20711
12:05:00.358,xrp,2.09,123260310631,2822911177,-3.7105,-3.87961
12:05:00.358,bnb,645.48,94144969145,573449265,0.07976,-0.00801
12:05:00.358,sol,142.16,75971729611,4088660467,-1.16317,-1.14653
12:05:00.358,trx,0.271767,25759592133,508287037,0.00288,-0.13099
12:05:00.358,doge,0.160552,24045590664,874969753,-0.69319,-0.79959
12:05:00.358,steth,2444.61,22295002717,52028368,-0.25364,-0.58063
12:05:00.358,ada,0.554011,20004259422,461929147,-1.642,-1.83701
12:05:00.358,wbtc,106850,13769802954,164574333,-0.36474,-0.47038
12:05:00.358,hype,36.81,12292581498,271291058,-1.68249,-1.63972
12:05:00.358,bch,495.5,9855069105,367775365,0.1599,0.16769
12:05:00.358,sui,2.66,9031923451,871877736,-0.14891,-0.34833
12:05:00.358,link,13.04,8840901511,267649051,-1.16152,-1.25287
12:05:00.358,leo,9.03,8339347306,2363112,0.44311,0.47992
12:05:00.358,avax,17.47,7374054340,233779346,0.35923,0.20212
12:05:00.358,xlm,0.234491,7322265227,111739143,-1.78424,-1.76152
12:05:00.358,ton,2.84,6997378130,102415099,0.32564,0.22823
12:05:00.358,wbt,47.15,6795835507,35863906,-0.62178,-0.60281
12:05:00.358,shib,1.123e-05,6615865887,106512279,-1.86571,-2.00478
12:05:00.358,weth,2446.09,6614093312,63568606,-0.23641,0.14569
12:05:00.358,ltc,84.39,6413280107,265454577,-0.66226,-0.79301
12:05:00.358,weeth,2618.91,6361711548,10485845,-0.20708,-0.25017
12:05:00.358,hbar,0.145224,6150809653,151939066,-0.23166,-0.2881
12:05:00.358,xmr,307.19,5654880417,80034054,-3.09797,-2.83368
12:05:00.358,bgb,4.6,5382304345,114576994,3.56948,3.62042
12:05:00.358,dot,3.31,5038426173,143999870,-0.49499,-0.51673
12:05:00.358,pi,0.555168,4218011970,147062767,-3.1804,-2.07381
12:05:00.358,uni,6.88,4130563388,375773356,-1.08805,-1.0796
12:05:00.358,aave,261.02,3958787060,426189497,1.86914,1.78126
12:05:00.358,pepe,9.28e-06,3904140148,554602998,-1.15296,-1.29273
12:05:00.358,apt,5.04,3252451075,498776364,5.63123,5.73108
12:05:00.358,okb,49.69,2981390601,7309512,-0.86106,-0.84304
12:05:00.358,tao,318.69,2838542120,123240624,-1.20481,-1.40535
12:05:00.358,near,2.08,2555185881,183372949,-0.53623,-0.75094
12:05:00.358,jitosol,172.28,2552637445,26262703,-1.00574,-1.30373
12:05:00.358,icp,4.73,2527298064,49579146,-1.3716,-1.62511
12:05:00.358,cro,0.080752,2512041831,10898739,-1.30046,-1.3894
12:05:00.358,etc,16.06,2449185811,39893254,-1.50497,-1.66335
12:05:00.358,ondo,0.740642,2340856094,101020486,-1.12095,-1.12318
12:05:00.358,tkx,27.75,2205846838,20844540,-0.02688,-0.46807
12:05:00.358,mnt,0.59759,2010980180,151114301,-1.90151,-1.95385
12:05:00.358,kas,0.07454,1966243249,69928771,-2.47312,-2.67933
12:05:00.358,gt,15.9,1926319224,6500730,-1.93559,-2.1042
12:05:00.358,ftn,4.42,1900064702,58991301,-0.09125,-0.03297
12:05:00.358,trump,8.97,1794532566,261565726,0.65375,0.64095
12:05:00.358,atom,3.91,1785946865,63216840,-1.31376,-1.38687
12:05:00.358,vet,0.02024713,1739721684,31801219,-3.18472,-3.46836
12:05:00.358,fet,0.665132,1732624804,143597134,1.7859,1.77325
12:05:00.358,sky,0.077183,1642073775,5895262,-1.50494,-1.7814
12:06:00.034,btc,106995,2127653176673,23671386803,-0.36321,-0.32478
12:06:00.034,eth,2446.37,295236253398,14509737575,-0.20621,-0.20711
12:06:00.034,xrp,2.09,123260310631,2822911177,-3.7105,-3.87961
12:06:00.034,bnb,645.48,94144969145,573449265,0.07976,-0.00801
12:06:00.034,sol,142.16,75971729611,4088660467,-1.16317,-1.14653
12:06:00.034,trx,0.271767,25759592133,508287037,0.00288,-0.13099
12:06:00.034,doge,0.160552,24045590664,874969753,-0.69319,-0.79959
12:06:00.034,steth,2444.61,22295002717,52028368,-0.25364,-0.58063
12:06:00.034,ada,0.554011,20004259422,461929147,-1.642,-1.83701
12:06:00.034,wbtc,106850,13769802954,164574333,-0.36474,-0.47038
12:06:00.034,hype,36.81,12292581498,271291058,-1.68249,-1.63972
12:06:00.034,bch,495.5,9855069105,367775365,0.1599,0.16769
12:06:00.034,sui,2.66,9031923451,871877736,-0.14891,-0.34833
12:06:00.034,link,13.04,8840901511,267649051,-1.16152,-1.25287
12:06:00.034,leo,9.03,8339347306,2363112,0.44311,0.47992
12:06:00.034,avax,17.47,7374054340,233779346,0.35923,0.20212
12:06:00.034,xlm,0.234491,7322265227,111739143,-1.78424,-1.76152
12:06:00.034,ton,2.84,6997378130,102415099,0.32564,0.22823
12:06:00.034,wbt,47.15,6795835507,35863906,-0.62178,-0.60281
12:06:00.034,shib,1.123e-05,6615865887,106512279,-1.86571,-2.00478
12:06:00.034,weth,2446.09,6614093312,63568606,-0.23641,0.14569
12:06:00.034,ltc,84.39,6413280107,265454577,-0.66226,-0.79301
12:06:00.034,weeth,2618.91,6361711548,10485845,-0.20708,-0.25017
12:06:00.034,hbar,0.145224,6150809653,151939066,-0.23166,-0.2881
12:06:00.034,xmr,307.19,5654880417,80034054,-3.09797,-2.83368
12:06:00.034,bgb,4.6,5382304345,114576994,3.56948,3.62042
12:06:00.034,dot,3.31,5038426173,143999870,-0.49499,-0.51673
12:06:00.034,pi,0.555168,4218011970,147062767,-3.1804,-2.07381
12:06:00.034,uni,6.88,4130563388,375773356,-1.08805,-1.0796
12:06:00.034,aave,261.02,3958787060,426189497,1.86914,1.78126
12:06:00.034,pepe,9.28e-06,3904140148,554602998,-1.15296,-1.29273
12:06:00.034,apt,5.04,3252451075,498776364,5.63123,5.73108
12:06:00.034,okb,49.69,2981390601,7309512,-0.86106,-0.84304
12:06:00.034,tao,318.69,2838542120,123240624,-1.20481,-1.40535
12:06:00.034,near,2.08,2555185881,183372949,-0.53623,-0.75094
12:06:00.034,jitosol,172.28,2552637445,26262703,-1.00574,-1.30373
12:06:00.034,icp,4.73,2527298064,49579146,-1.3716,-1.62511
12:06:00.034,cro,0.080752,2512041831,10898739,-1.30046,-1.3894
12:06:00.034,etc,16.06,2449185811,39893254,-1.50497,-1.66335
12:06:00.034,ondo,0.740642,2340856094,101020486,-1.12095,-1.12318
12:06:00.034,tkx,27.75,2205846838,20844540,-0.02688,-0.46807
12:06:00.034,mnt,0.59759,2010980180,151114301,-1.90151,-1.95385
12:06:00.034,kas,0.07454,1966243249,69928771,-2.47312,-2.67933
12:06:00.034,gt,15.9,1926319224,6500730,-1.93559,-2.1042
12:06:00.034,ftn,4.42,1900064702,58991301,-0.09125,-0.03297
12:06:00.034,trump,8.97,1794532566,261565726,0.65375,0.64095
12:06:00.034,atom,3.91,1785946865,63216840,-1.31376,-1.38687
12:06:00.034,vet,0.02024713,1739721684,31801219,-3.18472,-3.46836
12:06:00.034,fet,0.665132,1732624804,143597134,1.7859,1.77325
12:06:00.034,sky,0.077183,1642073775,5895262,-1.50494,-1.7814
12:07:00.361,btc,106984,2127429828680,23618182694,-0.34745,-0.33074
12:07:00.361,eth,2445.94,295297841284,14526514977,-0.14682,-0.19853
12:07:00.361,xrp,2.09,123375155774,2800782878,-3.67434,-3.72892
12:07:00.361,bnb,645.51,94144969145,572728482,0.10086,-0.00801
12:07:00.361,sol,142.15,75971729611,4085173468,-1.16883,-1.14653
12:07:00.361,trx,0.271785,25759592133,506459202,0.0015,-0.13099
12:07:00.361,doge,0.160571,24057612892,872483261,-0.6416,-0.66796
12:07:00.361,steth,2444.98,22295002717,52004950,-0.12187,-0.58063
12:07:00.361,ada,0.554049,20004259422,461429175,-1.53783,-1.83701
12:07:00.361,wbtc,106844,13769802954,164743177,-0.40132,-0.47038
12:07:00.361,hype,36.8,12292581498,271296949,-1.64429,-1.63972
12:07:00.361,bch,495.24,9855069105,362111114,0.08926,0.16769
12:07:00.361,sui,2.66,9031923451,857346672,-0.0858,-0.34833
12:07:00.361,link,13.04,8840901511,267468286,-1.0366,-1.25287
12:07:00.361,leo,9.03,8339347306,2355363,0.45298,0.47992
12:07:00.361,avax,17.47,7374054340,234259667,0.39515,0.20212
12:07:00.361,xlm,0.234373,7316288383,108248147,-1.8308,-1.82148
