title,source_name,url,published_at,sentiment_score
Dogecoin (DOGE) Recovery Unlikely in August 2025 as Utility-Focused Mutuum Finance (MUTM) Steals the Show,Cryptopolitan,https://partner.cryptopolitan.com/dogecoin-doge-recovery-unlikely-in-august-2025-as-utility-focused-mutuum-finance-mutm-steals-the-show/,2025-08-07 01:30:00+00:00,0.8787788152694702
"After Dangerous Understaffing Due To DOGE, National Weather Service Hiring 450 People",HuffPost,https://www.huffpost.com/entry/national-weather-service-doge-cuts_n_6893f054e4b0495c6ff5130b,2025-08-07 00:36:33+00:00,-0.711553692817688
Trump Threatens to Federalize District of Columbia After Former DOGE Staffer “Big Balls” Assaulted,LA Magazine,https://lamag.com/news-and-politics/trump-threatens-to-federalize-district-of-columbia-after-former-doge-staffer-big-balls-assaulted,2025-08-06 23:11:47+00:00,0.0
"After deep DOGE cuts, National Weather Service gets OK to fill up to 450 jobs",Boston Herald,https://www.bostonherald.com/2025/08/06/national-weather-service-hirings/,2025-08-06 22:56:17+00:00,0.0
"After deep DOGE cuts, National Weather Service gets OK to fill up to 450 jobs",The Denver Post,https://www.denverpost.com/2025/08/06/national-weather-service-hirings/,2025-08-06 22:56:17+00:00,0.0
"After deep DOGE cuts, National Weather Service gets OK to fill up to 450 jobs",ABC News,https://abcnews.go.com/Politics/wireStory/after-deep-doge-cuts-national-weather-service-gets-124429774,2025-08-06 22:38:05+00:00,-0.6144390106201172
Trump threatens federal takeover of DC after attack on former DOGE worker,Biztoc.com,https://biztoc.com/x/550f0f91434764c2,2025-08-06 22:02:19+00:00,-0.5487474799156189
"After deep DOGE cuts, National Weather Service gets OK to fill up to 450 jobs",WFTV Orlando,https://www.wftv.com/news/after-deep-doge-cuts/6H6IWVJZOFEKHHCSRJQ4NYWQGY/,2025-08-06 22:00:50+00:00,-0.3393898010253906
Dogecoin Whales Buy The Dip: $1 Billion DOGE Added,newsBTC,http://www.newsbtc.com/news/dogecoin/dogecoin-whales-buy-dip-1-billion-doge/,2025-08-06 22:00:06+00:00,0.0
Trump threatens federal takeover of DC after attack on former DOGE worker - PBS,Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=178594176,2025-08-06 17:32:58+00:00,0.0
Trump threatens fed DC takeover after former DOGE worker beaten in the streets and more top headlines - Fox News,Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=178593146,2025-08-06 15:55:52+00:00,0.0
DOGE’s ‘Big Balls’ Savagely Beaten Saving Woman From Carjacking In DC,Biztoc.com,https://biztoc.com/x/fd6cce8fe94702f8,2025-08-06 15:53:14+00:00,0.0
New name for Doge in Florida,Freerepublic.com,https://freerepublic.com/focus/f-bloggers/4333018/posts,2025-08-06 15:11:34+00:00,0.0
DOGE’s “Big Balls” Was Beaten Up—and Musk Is Already Lying About It,The New Republic,https://newrepublic.com/post/198846/doge-big-balls-beaten-up-attack-musk-lie,2025-08-06 14:29:12+00:00,0.0
Trump reignites threat to take over DC after former DOGE worker assaulted in attempted carjacking - CNN,Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=178592098,2025-08-06 14:12:38+00:00,0.0
HUGE! President Trump Threatens to Federalize DC Over Out-of-Control Crime After DOGE Team Member ‘Big Balls’ Severely Beaten by Gang While Defending Woman!,Freerepublic.com,https://freerepublic.com/focus/f-chat/4332998/posts,2025-08-06 14:08:54+00:00,0.0
